Electrical Conductivity (dS/m),Moisture (%),pH,Temperature (°C),Salinity (ppm),Humidity (%),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg),Soil Type,Crop Type,Fertilizer
0.7334759266882063,6.863890502439348,5.108732356880368,18.370411842875185,355.1659909437377,49.41477700296113,28.32434374870704,12.461959808940716,83.50829316510612,Sandy Soil,Rice,Urea
0.4155419690914952,21.07447703263652,7.342138972599162,16.418708766388807,363.9643420058608,51.36881639724989,53.83306124721882,9.444054652297057,116.01144967520152,Loamy Soil,Wheat,DAP
0.387136293688165,3.569019053255703,6.590901916355175,27.435187721907944,291.7231375565623,29.914409907829462,16.40517195100591,8.000946823511239,57.19707878025949,Sandy Soil,Soybean,DAP
0.8900012240495225,42.26801533714004,5.802612048439425,10.850301821414837,506.6307126251749,54.31588043804381,15.770942242833597,13.832574924561156,90.53384478063688,Clayey Soil,Rice,Urea
1.2138798872483794,25.7798280940999,6.501378436977443,23.98367768945537,644.0769022894767,51.29114154683905,33.900054709038486,15.049129282441442,80.7342936716598,Clayey Soil,Cotton,Potash
0.5601932532438089,9.380678404113995,6.812201857360852,17.75468197775617,174.4566442568957,25.55593700783,20.02674823240857,13.895393829379511,73.6486246797898,Sandy Soil,Wheat,DAP
0.8954384651943745,7.101420286411456,6.427885422414756,30.851822803930883,372.34518709129776,50.70951417134127,34.11541069225187,10.939809561619576,36.46942043111682,Sandy Soil,Maize,NPK
0.9862715838532392,27.289715550232625,6.662390847441913,15.072711110280766,691.6172752288763,33.26669103440385,57.35004747781314,12.561528450786788,58.94422569529933,Loamy Soil,Wheat,DAP
0.2041278580257507,3.315284876465552,6.327652922845026,25.46516096310963,519.4550668430732,34.01229576360391,43.54152830309113,11.10589696141852,35.80190313278023,Sandy Soil,Banana,Ammonium Sulfate
1.252125824775259,32.26201473268021,6.794372681929238,8.377084133553723,754.9357727058087,65.93394202791563,16.16842606252334,11.636931247561405,83.95811408204997,Clayey Soil,Rice,Urea
0.6393372906461372,11.107532822540913,6.436720437828763,21.970933032067556,414.3226178708912,34.32285086117264,49.97023483725306,14.986070261542212,66.86289838540522,Sandy Soil,Cotton,Potash
0.4558453780102645,15.341010921283573,5.794837546710519,16.125895825970872,502.05544323334703,32.61613138864468,42.46437817428232,11.472860454624405,69.20600465683356,Loamy Soil,Rice,Urea
0.2876873158927256,8.519459423938812,5.398917331768319,20.250192818251985,485.51295220028607,54.33003153097181,35.8199425512058,16.207013637866968,30.533028229729677,Sandy Soil,Rice,Urea
0.7479687705741584,19.686382160960527,5.887457572393179,14.45837723371681,660.5856499543019,31.61782912492003,26.79763755614502,16.514001193364102,94.94400027161844,Loamy Soil,Rice,Urea
0.5015420885662394,6.036732378177907,6.311834704963947,33.50493973902331,261.4786285983715,50.65701799848536,47.216169245582016,16.824031193638817,87.12463979672611,Sandy Soil,Groundnut,Potash
0.8572618881647917,18.432467037691296,7.36239336040939,23.71453902151364,659.5720272219937,39.30321090445122,55.82638433198514,15.528255990964814,109.99589244699614,Loamy Soil,Wheat,DAP
0.5217471339068089,15.572815033305822,5.829003691002927,27.90578586478578,392.0817530913644,39.34816459414687,25.51064386951257,12.158772060940926,100.09473539155654,Loamy Soil,Rice,Urea
1.0929619270530062,28.533375113317664,7.301709659954255,25.497305350022152,550.80858496231,35.947554895799215,37.20255674245012,16.17236315383911,110.94426441123944,Loamy Soil,Sugarcane,Urea
0.4908598441434461,11.172135804374768,5.48515653214765,16.826176050893405,293.4103217957356,28.140279116066,19.500877008619337,12.88620717570032,33.6541159859696,Sandy Soil,Rice,Urea
0.8238169362965424,25.538387346088648,5.535383846242297,11.4419813830036,301.4682484643102,32.190397247585125,39.030213358172425,12.71629963194421,94.6147910507875,Loamy Soil,Rice,Urea
1.1553621169614383,29.41705565926018,5.077859926651335,5.720376365828528,522.6552404740792,75.33696240771,24.886756039195934,17.504591705752958,74.89733757935161,Clayey Soil,Rice,Urea
0.5819487886154956,5.990427468718905,6.8946770241615525,31.90224826142322,592.1645151983104,45.76701623936262,28.23780169271164,9.370328000148149,69.79907062046885,Sandy Soil,Rice,Urea
0.8563630224316143,6.167367936585992,5.892298512914339,28.433204619957976,300.2561121869493,32.62777482966791,37.08672876445772,6.299808987382193,73.24350672160074,Sandy Soil,Rice,Urea
1.0440005843247584,33.15450686258686,6.554449503200791,14.388312771138075,718.7302788439332,38.54851899410316,34.35225468647992,11.265560505515678,86.04876825870642,Loamy Soil,Soybean,DAP
0.6940721219840226,32.5342136531951,6.546877417720027,10.7164717514117,344.9850705590237,48.02588123671258,49.42039316559267,11.076531413096244,118.33802078021948,Loamy Soil,Sugarcane,Urea
0.8041077012833049,43.92528986006164,6.466723029464188,17.749976058683263,851.694428726494,73.93546769386987,18.742195253293747,13.047543235655418,81.82546829564552,Clayey Soil,Potato,NPK
1.481569709147244,32.58255316751294,5.742971887318868,17.370541174363712,843.150857449659,61.42498295640266,30.507077681564738,12.941476706378827,91.66271797019871,Clayey Soil,Rice,Urea
